"codice","descrizione","rating","uso","dimensione_enterprise"
"G-1010","Try to label your sub blocks.","63","O","MAINTAINABILITY"
"G-1020","Always have a matching loop or block label.","85","c","MAINTAINABILITY"
"G-1030","Avoid defining variables that are not used.","74","c","MAINTAINABILITY"
"G-1040","Avoid dead code.","74","c","MAINTAINABILITY"
"G-1050","Avoid using literals in your code.","74","c","MAINTAINABILITY"
"G-1060","Avoid storing ROWIDs or UROWIDs in database tables.","84","c","DATA_INTEGRITY"
"G-1070","Avoid nesting comment blocks.","74","c","MAINTAINABILITY"
"G-1080","Avoid using the same expression on both sides of a relational comparison operator or a logical operator.","74","c","MAINTAINABILITY"
"G-2110","Try to use anchored declarations for variables, constants and types.","60","O","MAINTAINABILITY"
"G-2120","Try to have a single location to define your types.","63","O","MAINTAINABILITY"
"G-2130","Try to use subtypes for constructs used often in your code.","60","O","MAINTAINABILITY"
"G-2135","Avoid assigning values to local variables that are not used by a subsequent statement.","74","c","MAINTAINABILITY"
"G-2140","Never initialize variables with NULL.","98","R","DATA_INTEGRITY"
"G-2145","Never self-assign a variable.","88","R","MAINTAINABILITY"
"G-2150","Avoid comparisons with NULL value, consider using IS [NOT] NULL.","84","c","DATA_INTEGRITY"
"G-2160","Avoid initializing variables using functions in the declaration section.","74","c","MAINTAINABILITY"
"G-2170","Never overload variables.","88","R","MAINTAINABILITY"
"G-2180","Never use quoted identifiers.","88","R","SECURITY"
"G-2185","Avoid using overly short names for explicitly or implicitly declared identifiers.","74","c","MAINTAINABILITY"
"G-2190","Avoid using ROWID or UROWID.","84","c","DATA_INTEGRITY"
"G-2210","Avoid declaring NUMBER variables, constants or subtypes with no precision.","74","c","MAINTAINABILITY"
"G-2220","Try to use PLS_INTEGER instead of NUMBER for arithmetic operations with integer values.","68","O","PERFORMANCE"
"G-2230","Try to use SIMPLE_INTEGER datatype when appropriate.","68","O","PERFORMANCE"
"G-2310","Avoid using CHAR data type.","74","c","MAINTAINABILITY"
"G-2320","Never use VARCHAR data type.","88","R","MAINTAINABILITY"
"G-2330","Never use zero-length strings to substitute NULL.","98","R","DATA_INTEGRITY"
"G-2340","Always define your VARCHAR2 variables using CHAR SEMANTIC (if not defined anchored).","82","c","MAINTAINABILITY"
"G-2410","Try to use boolean data type for values with dual meaning.","60","O","MAINTAINABILITY"
"G-2510","Avoid using the LONG and LONG RAW data types.","74","c","MAINTAINABILITY"
"G-2610","Never use self-defined weak ref cursor types.","88","R","MAINTAINABILITY"
"G-3110","Always specify the target columns when coding an insert statement.","92","R","DATA_INTEGRITY"
"G-3115","Avoid self-assigning a column.","74","c","MAINTAINABILITY"
"G-3120","Always use table aliases when your SQL statement involves more than one source.","85","c","MAINTAINABILITY"
"G-3130","Try to use ANSI SQL-92 join syntax.","60","O","MAINTAINABILITY"
"G-3140","Try to use anchored records as targets for your cursors.","60","O","MAINTAINABILITY"
"G-3145","Avoid using SELECT * directly from a table or view.","84","c","DATA_INTEGRITY"
"G-3150","Try to use identity columns for surrogate keys.","60","O","MAINTAINABILITY"
"G-3160","Avoid visible virtual columns.","74","c","MAINTAINABILITY"
"G-3170","Always use DEFAULT ON NULL declarations to assign default values to table columns if you refuse to store NULL values.","92","R","DATA_INTEGRITY"
